crop,year,season,state,area,production,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
Wheat,2010,Rabi       ,Andhra Pradesh,10085.0,13143,1675219.35,2420.4,1.311818182,27.91,1557.24,73.66,78,45,22,6.8
Arecanut,2010,Whole Year ,Karnataka,211265.0,2284410,35093229.15,50703.6,10.94818182,23.76,969.11,71.33,72,42,25,6.9
Arhar/Tur,2010,Kharif     ,Karnataka,891525.0,522540,148091217.8,213966.0,0.65037037,23.76,969.11,71.33,72,42,25,6.9
Bajra,2010,Kharif     ,Karnataka,307977.0,291109,51158059.47,73914.48,0.883125,23.76,969.11,71.33,72,42,25,6.9
Bajra,2010,Rabi       ,Karnataka,160.0,136,26577.6,38.4,0.84,23.76,969.11,71.33,72,42,25,6.9
Bajra,2010,Summer     ,Karnataka,1090.0,955,181059.9,261.6,0.9,23.76,969.11,71.33,72,42,25,6.9
Banana,2010,Whole Year ,Karnataka,65767.0,1536239,10924556.37,15784.08,23.71172414,23.76,969.11,71.33,72,42,25,6.9
Black pepper,2010,Whole Year ,Karnataka,21061.0,12717,3498442.71,5054.64,0.580769231,23.76,969.11,71.33,72,42,25,6.9
Cardamom,2010,Whole Year ,Karnataka,19081.0,1550,3169544.91,4579.44,0.068888889,23.76,969.11,71.33,72,42,25,6.9
Cashewnut,2010,Whole Year ,Karnataka,63448.0,46527,10539347.28,15227.52,0.712727273,23.76,969.11,71.33,72,42,25,6.9
Castor seed,2010,Kharif     ,Karnataka,19100.0,15991,3172701.0,4584.0,0.865652174,23.76,969.11,71.33,72,42,25,6.9
Coconut ,2010,Whole Year ,Karnataka,440741.0,4213360000,73211487.51,105777.84,9678.503667,23.76,969.11,71.33,72,42,25,6.9
Coriander,2010,Whole Year ,Karnataka,4348.0,1622,722246.28,1043.52,0.368,23.76,969.11,71.33,72,42,25,6.9
Cotton(lint),2010,Kharif     ,Karnataka,418360.0,994710,69493779.6,100406.4,2.260909091,23.76,969.11,71.33,72,42,25,6.9
Cotton(lint),2010,Rabi       ,Karnataka,129125.0,155407,21448953.75,30990.0,1.758,23.76,969.11,71.33,72,42,25,6.9
Cowpea(Lobia),2010,Kharif     ,Karnataka,70151.0,36233,11652782.61,16836.24,0.527692308,23.76,969.11,71.33,72,42,25,6.9
Cowpea(Lobia),2010,Rabi       ,Karnataka,27130.0,7166,4506564.3,6511.2,0.264285714,23.76,969.11,71.33,72,42,25,6.9
Dry chillies,2010,Kharif     ,Karnataka,99759.0,82155,16570967.49,23942.16,1.176206897,23.76,969.11,71.33,72,42,25,6.9
Dry chillies,2010,Rabi       ,Karnataka,6608.0,17951,1097654.88,1585.92,2.711785714,23.76,969.11,71.33,72,42,25,6.9
Dry chillies,2010,Summer     ,Karnataka,7482.0,22761,1242835.02,1795.68,3.1132,23.76,969.11,71.33,72,42,25,6.9
Garlic,2010,Whole Year ,Karnataka,4234.0,5467,703309.74,1016.16,1.322857143,23.76,969.11,71.33,72,42,25,6.9
Ginger,2010,Whole Year ,Karnataka,46469.0,168165,7718965.59,11152.56,3.717894737,23.76,969.11,71.33,72,42,25,6.9
Gram,2010,Rabi       ,Karnataka,959173.0,607377,159328227.0,230201.52,0.645,23.76,969.11,71.33,72,42,25,6.9
Groundnut,2010,Kharif     ,Karnataka,658739.0,432075,109423135.3,158097.36,0.797407407,23.76,969.11,71.33,72,42,25,6.9
Groundnut,2010,Rabi       ,Karnataka,187013.0,168264,31064729.43,44883.12,1.024482759,23.76,969.11,71.33,72,42,25,6.9
Horse-gram,2010,Kharif     ,Karnataka,88254.0,50744,14659871.94,21180.96,0.621538462,23.76,969.11,71.33,72,42,25,6.9
Horse-gram,2010,Rabi       ,Karnataka,132555.0,80189,22018711.05,31813.2,0.571724138,23.76,969.11,71.33,72,42,25,6.9
Jowar,2010,Kharif     ,Karnataka,218192.0,335373,36243873.12,52366.08,1.517727273,23.76,969.11,71.33,72,42,25,6.9
Jowar,2010,Rabi       ,Karnataka,1020743.0,999104,169555619.7,244978.32,0.940526316,23.76,969.11,71.33,72,42,25,6.9
Jowar,2010,Summer     ,Karnataka,5446.0,11403,904635.06,1307.04,2.315555556,23.76,969.11,71.33,72,42,25,6.9
Linseed,2010,Rabi       ,Karnataka,11358.0,3809,1886677.38,2725.92,0.335384615,23.76,969.11,71.33,72,42,25,6.9
Maize,2010,Kharif     ,Karnataka,1139899.0,3908386,189348622.9,273575.76,3.354285714,23.76,969.11,71.33,72,42,25,6.9
Maize,2010,Rabi       ,Karnataka,115803.0,321962,19236036.33,27792.72,2.8475,23.76,969.11,71.33,72,42,25,6.9
Maize,2010,Summer     ,Karnataka,30734.0,104275,5105224.74,7376.16,3.294137931,23.76,969.11,71.33,72,42,25,6.9
Mesta,2010,Whole Year ,Karnataka,1907.0,2405,316771.77,457.68,1.21,23.76,969.11,71.33,72,42,25,6.9
Moong(Green Gram),2010,Kharif     ,Karnataka,390821.0,107597,64919276.31,93797.04,0.284166667,23.76,969.11,71.33,72,42,25,6.9
Moong(Green Gram),2010,Rabi       ,Karnataka,10263.0,2702,1704786.93,2463.12,0.262,23.76,969.11,71.33,72,42,25,6.9
Niger seed,2010,Kharif     ,Karnataka,23385.0,7041,3884482.35,5612.4,0.300769231,23.76,969.11,71.33,72,42,25,6.9
Onion,2010,Kharif     ,Karnataka,143154.0,893739,23779310.94,34356.96,6.8968,23.76,969.11,71.33,72,42,25,6.9
Onion,2010,Rabi       ,Karnataka,14430.0,98814,2396967.3,3463.2,7.219047619,23.76,969.11,71.33,72,42,25,6.9
Onion,2010,Summer     ,Karnataka,4680.0,49792,777394.8,1123.2,10.59809524,23.76,969.11,71.33,72,42,25,6.9
Other  Rabi pulses,2010,Rabi       ,Karnataka,12965.0,4146,2153616.15,3111.6,0.363888889,23.76,969.11,71.33,72,42,25,6.9
Other Kharif pulses,2010,Kharif     ,Karnataka,81180.0,66838,13484809.8,19483.2,0.755925926,23.76,969.11,71.33,72,42,25,6.9
Peas & beans (Pulses),2010,Kharif     ,Karnataka,4019.0,35992,667596.09,964.56,8.276842105,23.76,969.11,71.33,72,42,25,6.9
Peas & beans (Pulses),2010,Rabi       ,Karnataka,2140.0,15096,355475.4,513.6,7.131764706,23.76,969.11,71.33,72,42,25,6.9
Peas & beans (Pulses),2010,Summer     ,Karnataka,1470.0,12493,244181.7,352.8,8.156875,23.76,969.11,71.33,72,42,25,6.9
Potato,2010,Kharif     ,Karnataka,32843.0,249472,5455550.73,7882.32,8.056875,23.76,969.11,71.33,72,42,25,6.9
Potato,2010,Rabi       ,Karnataka,5944.0,69194,987357.84,1426.56,12.75454545,23.76,969.11,71.33,72,42,25,6.9
Potato,2010,Summer     ,Karnataka,1437.0,22093,238700.07,344.88,15.26142857,23.76,969.11,71.33,72,42,25,6.9
Ragi,2010,Kharif     ,Karnataka,733345.0,1409869,121815937.9,176002.8,1.627,23.76,969.11,71.33,72,42,25,6.9
Ragi,2010,Rabi       ,Karnataka,45898.0,71598,7624116.78,11015.52,1.767142857,23.76,969.11,71.33,72,42,25,6.9
Ragi,2010,Summer     ,Karnataka,8675.0,16983,1441004.25,2082.0,1.889285714,23.76,969.11,71.33,72,42,25,6.9
Rapeseed &Mustard,2010,Rabi       ,Karnataka,3838.0,1284,637530.18,921.12,0.323888889,23.76,969.11,71.33,72,42,25,6.9
Rice,2010,Kharif     ,Karnataka,1129304.0,3192746,187588687.4,271032.96,2.654,23.76,969.11,71.33,72,42,25,6.9
Rice,2010,Rabi       ,Karnataka,49700.0,117501,8255667.0,11928.0,2.668333333,23.76,969.11,71.33,72,42,25,6.9
Rice,2010,Summer     ,Karnataka,360062.0,1163725,59809898.82,86414.88,2.935714286,23.76,969.11,71.33,72,42,25,6.9
Safflower,2010,Rabi       ,Karnataka,55038.0,48719,9142362.18,13209.12,0.777333333,23.76,969.11,71.33,72,42,25,6.9
Sannhamp,2010,Whole Year ,Karnataka,341.0,85,56643.51,81.84,0.245,23.76,969.11,71.33,72,42,25,6.9
Sesamum,2010,Kharif     ,Karnataka,86724.0,49112,14405723.64,20813.76,0.56,23.76,969.11,71.33,72,42,25,6.9
Small millets,2010,Kharif     ,Karnataka,24095.0,12082,4002420.45,5782.8,0.552857143,23.76,969.11,71.33,72,42,25,6.9
Soyabean,2010,Kharif     ,Karnataka,168075.0,147777,27918938.25,40338.0,0.841111111,23.76,969.11,71.33,72,42,25,6.9
Sugarcane,2010,Whole Year ,Karnataka,436798.0,42276713,72556515.78,104831.52,97.33137931,23.76,969.11,71.33,72,42,25,6.9
Sunflower,2010,Kharif     ,Karnataka,193955.0,97869,32217865.05,46549.2,0.569583333,23.76,969.11,71.33,72,42,25,6.9
Sunflower,2010,Rabi       ,Karnataka,193178.0,98783,32088797.58,46362.72,0.706521739,23.76,969.11,71.33,72,42,25,6.9
Sunflower,2010,Summer     ,Karnataka,22120.0,22405,3674353.2,5308.8,1.032173913,23.76,969.11,71.33,72,42,25,6.9
Sweet potato,2010,Whole Year ,Karnataka,2060.0,16977,342186.6,494.4,8.400666667,23.76,969.11,71.33,72,42,25,6.9
Tapioca,2010,Whole Year ,Karnataka,879.0,9712,146010.69,210.96,11.11777778,23.76,969.11,71.33,72,42,25,6.9
Tobacco,2010,Whole Year ,Karnataka,125392.0,136982,20828865.12,30094.08,1.07,23.76,969.11,71.33,72,42,25,6.9
Turmeric,2010,Whole Year ,Karnataka,14162.0,70158,2352449.82,3398.88,4.3825,23.76,969.11,71.33,72,42,25,6.9
Urad,2010,Kharif     ,Karnataka,118318.0,42990,19653802.98,28396.32,0.362916667,23.76,969.11,71.33,72,42,25,6.9
Urad,2010,Rabi       ,Karnataka,8727.0,4079,1449641.97,2094.48,0.464166667,23.76,969.11,71.33,72,42,25,6.9
Wheat,2010,Rabi       ,Karnataka,254755.0,300237,42317353.05,61141.2,1.166470588,23.76,969.11,71.33,72,42,25,6.9
Arecanut,2010,Whole Year ,Kerala,99833.5,99909,16583342.68,23960.04,0.827857143,26.9,1937.17,80.85,65,28,50,5.7
Banana,2010,Whole Year ,Kerala,58671.14,483667,9745863.065,14081.0736,8.239285714,26.9,1937.17,80.85,65,28,50,5.7
Black pepper,2010,Whole Year ,Kerala,172181.55,45267,28601077.27,41323.572,0.180714286,26.9,1937.17,80.85,65,28,50,5.7
Cashewnut,2010,Whole Year ,Kerala,43847.75,34752,7283549.752,10523.46,0.47,26.9,1937.17,80.85,65,28,50,5.7
Coconut ,2010,Whole Year ,Kerala,770473.13,5286561000,127983291.6,184913.5512,6501.544286,26.9,1937.17,80.85,65,28,50,5.7
Ginger,2010,Whole Year ,Kerala,6087.93,33197,1011266.052,1461.1032,3.533571429,26.9,1937.17,80.85,65,28,50,5.7
Rice,2010,Autumn     ,Kerala,70498.28,170262,11710469.29,16919.5872,2.236923077,26.9,1937.17,80.85,65,28,50,5.7
Rice,2010,Summer     ,Kerala,51132.63,137465,8493641.169,12271.8312,2.48,26.9,1937.17,80.85,65,28,50,5.7
Rice,2010,Winter     ,Kerala,91555.59,215011,15208299.05,21973.3416,2.202142857,26.9,1937.17,80.85,65,28,50,5.7
Sesamum,2010,Kharif     ,Kerala,518.81,228,86179.5291,124.5144,0.258571429,26.9,1937.17,80.85,65,28,50,5.7
Sugarcane,2010,Whole Year ,Kerala,2844.91,271845,472568.0001,682.7784,41.51714286,26.9,1937.17,80.85,65,28,50,5.7
Tapioca,2010,Whole Year ,Kerala,72284.1,2408962,12007111.85,17348.184,34.24,26.9,1937.17,80.85,65,28,50,5.7
Turmeric,2010,Whole Year ,Kerala,2390.78,6198,397132.4658,573.7872,2.415,26.9,1937.17,80.85,65,28,50,5.7
Arecanut,2010,Whole Year ,Meghalaya,14611.0,20501,2427033.21,3506.64,1.202857143,18.07,3082.63,83.27,52,16,33,5.6
Arhar/Tur,2010,Kharif     ,Meghalaya,779.0,611,129399.69,186.96,0.79,18.07,3082.63,83.27,52,16,33,5.6
Banana,2010,Kharif     ,Meghalaya,6795.0,79954,1128717.45,1630.8,10.29285714,18.07,3082.63,83.27,52,16,33,5.6
Black pepper,2010,Whole Year ,Meghalaya,889.0,465,147671.79,213.36,0.52,18.07,3082.63,83.27,52,16,33,5.6
Cashewnut,2010,Whole Year ,Meghalaya,8650.0,15414,1436851.5,2076.0,1.476666667,18.07,3082.63,83.27,52,16,33,5.6
Castor seed,2010,Kharif     ,Meghalaya,25.0,12,4152.75,6.0,0.626666667,18.07,3082.63,83.27,52,16,33,5.6
Cotton(lint),2010,Kharif     ,Meghalaya,6816.0,5571,1132205.76,1635.84,0.823333333,18.07,3082.63,83.27,52,16,33,5.6
Dry chillies,2010,Whole Year ,Meghalaya,1848.0,1415,306971.28,443.52,1.03,18.07,3082.63,83.27,52,16,33,5.6
Ginger,2010,Kharif     ,Meghalaya,9438.0,56622,1567746.18,2265.12,7.162857143,18.07,3082.63,83.27,52,16,33,5.6
Gram,2010,Rabi       ,Meghalaya,554.0,344,92024.94,132.96,0.58,18.07,3082.63,83.27,52,16,33,5.6
Jute,2010,Kharif     ,Meghalaya,3881.0,34354,644672.91,931.44,6.72,18.07,3082.63,83.27,52,16,33,5.6
Linseed,2010,Rabi       ,Meghalaya,82.0,39,13621.02,19.68,0.48,18.07,3082.63,83.27,52,16,33,5.6
Maize,2010,Kharif     ,Meghalaya,17276.0,26500,2869716.36,4146.24,1.561428571,18.07,3082.63,83.27,52,16,33,5.6
Masoor,2010,Rabi       ,Meghalaya,339.0,280,56311.29,81.36,0.7625,18.07,3082.63,83.27,52,16,33,5.6
Mesta,2010,Kharif     ,Meghalaya,4122.0,18231,684705.42,989.28,4.5,18.07,3082.63,83.27,52,16,33,5.6
Other  Rabi pulses,2010,Rabi       ,Meghalaya,873.0,623,145014.03,209.52,0.692857143,18.07,3082.63,83.27,52,16,33,5.6
Peas & beans (Pulses),2010,Rabi       ,Meghalaya,1035.0,1420,171923.85,248.4,1.274285714,18.07,3082.63,83.27,52,16,33,5.6
Potato,2010,Whole Year ,Meghalaya,17685.0,164647,2937655.35,4244.4,7.374285714,18.07,3082.63,83.27,52,16,33,5.6
Rapeseed &Mustard,2010,Rabi       ,Meghalaya,7152.0,4859,1188018.72,1716.48,0.592857143,18.07,3082.63,83.27,52,16,33,5.6
Rice,2010,Autumn     ,Meghalaya,32596.0,42492,5414521.56,7823.04,1.53,18.07,3082.63,83.27,52,16,33,5.6
Rice,2010,Rabi       ,Meghalaya,12797.0,47413,2125709.67,3071.28,2.077142857,18.07,3082.63,83.27,52,16,33,5.6
Rice,2010,Winter     ,Meghalaya,62892.0,117116,10446990.12,15094.08,1.828571429,18.07,3082.63,83.27,52,16,33,5.6
Sesamum,2010,Kharif     ,Meghalaya,1584.0,852,263118.24,380.16,0.583333333,18.07,3082.63,83.27,52,16,33,5.6
Small millets,2010,Rabi       ,Meghalaya,2231.0,1695,370591.41,535.44,0.914285714,18.07,3082.63,83.27,52,16,33,5.6
Soyabean,2010,Kharif     ,Meghalaya,1078.0,1186,179066.58,258.72,1.038571429,18.07,3082.63,83.27,52,16,33,5.6
Sugarcane,2010,Whole Year ,Meghalaya,68.0,180,11295.48,16.32,2.35,18.07,3082.63,83.27,52,16,33,5.6
Sweet potato,2010,Kharif     ,Meghalaya,4133.0,13241,686532.63,991.92,3.584285714,18.07,3082.63,83.27,52,16,33,5.6
Tapioca,2010,Kharif     ,Meghalaya,4180.0,21793,694339.8,1003.2,6.087142857,18.07,3082.63,83.27,52,16,33,5.6
Tobacco,2010,Rabi       ,Meghalaya,631.0,420,104815.41,151.44,0.7475,18.07,3082.63,83.27,52,16,33,5.6
Turmeric,2010,Whole Year ,Meghalaya,1928.0,10058,320260.08,462.72,5.167142857,18.07,3082.63,83.27,52,16,33,5.6
Wheat,2010,Rabi       ,Meghalaya,393.0,704,65281.23,94.32,1.2475,18.07,3082.63,83.27,52,16,33,5.6
Arecanut,2011,Kharif     ,Puducherry,60.0,77,10051.2,19.8,1.28,27.95,1264.88,75.01,88,55,40,7.0
Bajra,2011,Kharif     ,Puducherry,11.0,29,1842.72,3.63,2.64,27.95,1264.88,75.01,88,55,40,7.0
Bajra,2011,Summer     ,Puducherry,20.0,51,3350.4,6.6,2.55,27.95,1264.88,75.01,88,55,40,7.0
Banana,2011,Kharif     ,Puducherry,266.0,3263,44560.32,87.78,10.90333333,27.95,1264.88,75.01,88,55,40,7.0
Black pepper,2011,Kharif     ,Puducherry,11.0,5,1842.72,3.63,0.45,27.95,1264.88,75.01,88,55,40,7.0
Cashewnut,2011,Kharif     ,Puducherry,159.0,50,26635.68,52.47,0.466666667,27.95,1264.88,75.01,88,55,40,7.0
Coconut ,2011,Whole Year ,Puducherry,2095.0,17313000,350954.4,691.35,9838.6475,27.95,1264.88,75.01,88,55,40,7.0
Cotton(lint),2011,Summer     ,Puducherry,8.0,8,1340.16,2.64,1.0,27.95,1264.88,75.01,88,55,40,7.0
Dry chillies,2011,Kharif     ,Puducherry,1.0,2,167.52,0.33,2.0,27.95,1264.88,75.01,88,55,40,7.0
Dry chillies,2011,Summer     ,Puducherry,1.0,2,167.52,0.33,2.0,27.95,1264.88,75.01,88,55,40,7.0
Groundnut,2011,Kharif     ,Puducherry,16.0,30,2680.32,5.28,1.88,27.95,1264.88,75.01,88,55,40,7.0
Groundnut,2011,Rabi       ,Puducherry,282.0,389,47240.64,93.06,1.195,27.95,1264.88,75.01,88,55,40,7.0
Groundnut,2011,Summer     ,Puducherry,21.0,38,3517.92,6.93,1.47,27.95,1264.88,75.01,88,55,40,7.0
Jowar,2011,Summer     ,Puducherry,1.0,2,167.52,0.33,2.0,27.95,1264.88,75.01,88,55,40,7.0
Moong(Green Gram),2011,Kharif     ,Puducherry,1.0,1,167.52,0.33,1.0,27.95,1264.88,75.01,88,55,40,7.0
Moong(Green Gram),2011,Rabi       ,Puducherry,3.0,1,502.56,0.99,0.25,27.95,1264.88,75.01,88,55,40,7.0
Moong(Green Gram),2011,Summer     ,Puducherry,1310.0,481,219451.2,432.3,0.495,27.95,1264.88,75.01,88,55,40,7.0
Onion,2011,Rabi       ,Puducherry,1.0,7,167.52,0.33,7.0,27.95,1264.88,75.01,88,55,40,7.0
Other  Rabi pulses,2011,Rabi       ,Puducherry,20.0,20,3350.4,6.6,1.0,27.95,1264.88,75.01,88,55,40,7.0
Other Kharif pulses,2011,Kharif     ,Puducherry,1.0,1,167.52,0.33,1.0,27.95,1264.88,75.01,88,55,40,7.0
Other Kharif pulses,2011,Rabi       ,Puducherry,20.0,20,3350.4,6.6,1.0,27.95,1264.88,75.01,88,55,40,7.0
Ragi,2011,Kharif     ,Puducherry,12.0,33,2010.24,3.96,2.75,27.95,1264.88,75.01,88,55,40,7.0
Ragi,2011,Summer     ,Puducherry,10.0,25,1675.2,3.3,2.5,27.95,1264.88,75.01,88,55,40,7.0
Rice,2011,Kharif     ,Puducherry,4237.0,12794,709782.24,1398.21,3.046666667,27.95,1264.88,75.01,88,55,40,7.0
Rice,2011,Rabi       ,Puducherry,10324.0,23489,1729476.48,3406.92,2.856666667,27.95,1264.88,75.01,88,55,40,7.0
Rice,2011,Summer     ,Puducherry,2015.0,5831,337552.8,664.95,2.49,27.95,1264.88,75.01,88,55,40,7.0
Sesamum,2011,Kharif     ,Puducherry,3.0,2,502.56,0.99,0.67,27.95,1264.88,75.01,88,55,40,7.0
Sesamum,2011,Rabi       ,Puducherry,6.0,4,1005.12,1.98,0.67,27.95,1264.88,75.01,88,55,40,7.0
Sesamum,2011,Summer     ,Puducherry,113.0,92,18929.76,37.29,0.58,27.95,1264.88,75.01,88,55,40,7.0
Sugarcane,2011,Kharif     ,Puducherry,1949.0,287785,326496.48,643.17,147.66,27.95,1264.88,75.01,88,55,40,7.0
Tapioca,2011,Kharif     ,Puducherry,245.0,6064,41042.4,80.85,18.725,27.95,1264.88,75.01,88,55,40,7.0
Tapioca,2011,Rabi       ,Puducherry,1.0,24,167.52,0.33,24.0,27.95,1264.88,75.01,88,55,40,7.0
Turmeric,2011,Kharif     ,Puducherry,2.0,3,335.04,0.66,1.5,27.95,1264.88,75.01,88,55,40,7.0
Turmeric,2011,Rabi       ,Puducherry,4.0,6,670.08,1.32,1.5,27.95,1264.88,75.01,88,55,40,7.0
Urad,2011,Kharif     ,Puducherry,15.0,12,2512.8,4.95,0.8,27.95,1264.88,75.01,88,55,40,7.0
Urad,2011,Rabi       ,Puducherry,224.0,242,37524.48,73.92,0.83,27.95,1264.88,75.01,88,55,40,7.0
Urad,2011,Summer     ,Puducherry,832.0,317,139376.64,274.56,0.563333333,27.95,1264.88,75.01,88,55,40,7.0
Arecanut,2011,Rabi       ,Assam,68699.0,60075,11508456.48,22670.67,0.878148148,22.6,1698.68,77.12,60,18,38,5.8
Arhar/Tur,2011,Kharif     ,Assam,5697.0,4467,954361.44,1880.01,0.774074074,22.6,1698.68,77.12,60,18,38,5.8
Banana,2011,Whole Year ,Assam,47563.0,729102,7967753.76,15695.79,14.98222222,22.6,1698.68,77.12,60,18,38,5.8
Black pepper,2011,Whole Year ,Assam,3647.0,5198,610945.44,1203.51,1.597777778,22.6,1698.68,77.12,60,18,38,5.8
Castor seed,2011,Kharif     ,Assam,1024.0,538,171540.48,337.92,0.515833333,22.6,1698.68,77.12,60,18,38,5.8
Coconut ,2011,Whole Year ,Assam,20710.0,175613000,3469339.2,6834.3,7299.402593,22.6,1698.68,77.12,60,18,38,5.8
Cotton(lint),2011,Kharif     ,Assam,1230.0,581,206049.6,405.9,0.595652174,22.6,1698.68,77.12,60,18,38,5.8
Dry chillies,2011,Whole Year ,Assam,19526.0,12871,3270995.52,6443.58,0.655185185,22.6,1698.68,77.12,60,18,38,5.8
Ginger,2011,Whole Year ,Assam,16338.0,121369,2736941.76,5391.54,7.513333333,22.6,1698.68,77.12,60,18,38,5.8
Gram,2011,Rabi       ,Assam,1823.0,955,305388.96,601.59,0.5328,22.6,1698.68,77.12,60,18,38,5.8
Jute,2011,Kharif     ,Assam,65560.0,608023,10982611.2,21634.8,9.125555556,22.6,1698.68,77.12,60,18,38,5.8
Linseed,2011,Rabi       ,Assam,7037.0,3981,1178838.24,2322.21,0.536086957,22.6,1698.68,77.12,60,18,38,5.8
Maize,2011,Kharif     ,Assam,21297.0,17075,3567673.44,7028.01,0.693333333,22.6,1698.68,77.12,60,18,38,5.8
Masoor,2011,Rabi       ,Assam,22544.0,11798,3776570.88,7439.52,0.526,22.6,1698.68,77.12,60,18,38,5.8
Mesta,2011,Kharif     ,Assam,4877.0,27718,816995.04,1609.41,5.8716,22.6,1698.68,77.12,60,18,38,5.8
Moong(Green Gram),2011,Rabi       ,Assam,11512.0,6347,1928490.24,3798.96,0.524074074,22.6,1698.68,77.12,60,18,38,5.8
Niger seed,2011,Kharif     ,Assam,8423.0,4372,1411020.96,2779.59,0.604347826,22.6,1698.68,77.12,60,18,38,5.8
Onion,2011,Whole Year ,Assam,7372.0,22595,1234957.44,2432.76,3.02962963,22.6,1698.68,77.12,60,18,38,5.8
Peas & beans (Pulses),2011,Rabi       ,Assam,21151.0,13602,3543215.52,6979.83,0.645925926,22.6,1698.68,77.12,60,18,38,5.8
Potato,2011,Whole Year ,Assam,97816.0,682597,16386136.32,32279.28,7.035925926,22.6,1698.68,77.12,60,18,38,5.8
Rapeseed &Mustard,2011,Rabi       ,Assam,247949.0,138647,41536416.48,81823.17,0.538888889,22.6,1698.68,77.12,60,18,38,5.8
Rice,2011,Autumn     ,Assam,276486.0,338015,46316934.72,91240.38,1.268518519,22.6,1698.68,77.12,60,18,38,5.8
Rice,2011,Summer     ,Assam,393619.0,1080072,65939054.88,129894.27,2.489615385,22.6,1698.68,77.12,60,18,38,5.8
Rice,2011,Winter     ,Assam,1875601.0,3297591,314200679.5,618948.33,1.797037037,22.6,1698.68,77.12,60,18,38,5.8
Sesamum,2011,Kharif     ,Assam,11801.0,7957,1976903.52,3894.33,0.594444444,22.6,1698.68,77.12,60,18,38,5.8
Small millets,2011,Kharif     ,Assam,3991.0,2041,668572.32,1317.03,0.523913043,22.6,1698.68,77.12,60,18,38,5.8
Sugarcane,2011,Whole Year ,Assam,28404.0,1052514,4758238.08,9373.32,37.69074074,22.6,1698.68,77.12,60,18,38,5.8
Sweet potato,2011,Whole Year ,Assam,6558.0,25769,1098596.16,2164.14,4.177777778,22.6,1698.68,77.12,60,18,38,5.8
Tapioca,2011,Whole Year ,Assam,3875.0,28281,649140.0,1278.75,8.222307692,22.6,1698.68,77.12,60,18,38,5.8
Tobacco,2011,Whole Year ,Assam,341.0,186,57124.32,112.53,0.631304348,22.6,1698.68,77.12,60,18,38,5.8
Turmeric,2011,Whole Year ,Assam,15447.0,13442,2587681.44,5097.51,0.864444444,22.6,1698.68,77.12,60,18,38,5.8
Urad,2011,Rabi       ,Assam,53669.0,29832,8990630.88,17710.77,0.565555556,22.6,1698.68,77.12,60,18,38,5.8
Wheat,2011,Rabi       ,Assam,40194.0,48592,6733298.88,13264.02,1.169615385,22.6,1698.68,77.12,60,18,38,5.8
Arecanut,2011,Whole Year ,Andhra Pradesh,562.0,275,94146.24,185.46,0.296666667,27.96,730.18,68.3,78,45,22,6.8
Arhar/Tur,2011,Kharif     ,Andhra Pradesh,478657.0,144679,80184620.64,157956.81,0.435454545,27.96,730.18,68.3,78,45,22,6.8
Arhar/Tur,2011,Rabi       ,Andhra Pradesh,2841.0,1409,475924.32,937.53,0.455294118,27.96,730.18,68.3,78,45,22,6.8
Bajra,2011,Kharif     ,Andhra Pradesh,32415.0,47506,5430160.8,10696.95,1.221764706,27.96,730.18,68.3,78,45,22,6.8
Bajra,2011,Rabi       ,Andhra Pradesh,10748.0,11138,1800504.96,3546.84,1.235,27.96,730.18,68.3,78,45,22,6.8
Banana,2011,Whole Year ,Andhra Pradesh,62103.0,2308295,10403494.56,20493.99,35.52157895,27.96,730.18,68.3,78,45,22,6.8
Cashewnut,2011,Whole Year ,Andhra Pradesh,137898.0,38894,23100672.96,45506.34,0.351538462,27.96,730.18,68.3,78,45,22,6.8
Castor seed,2011,Kharif     ,Andhra Pradesh,253280.0,52509,42429465.6,83582.4,0.402777778,27.96,730.18,68.3,78,45,22,6.8
Coconut ,2011,Whole Year ,Andhra Pradesh,103967.0,1430853709,17416551.84,34309.11,12604.71833,27.96,730.18,68.3,78,45,22,6.8
Coriander,2011,Whole Year ,Andhra Pradesh,12821.0,7427,2147773.92,4230.93,0.6025,27.96,730.18,68.3,78,45,22,6.8
Cotton(lint),2011,Kharif     ,Andhra Pradesh,2062999.0,3181907,345593592.5,680789.67,1.548181818,27.96,730.18,68.3,78,45,22,6.8
Cowpea(Lobia),2011,Kharif     ,Andhra Pradesh,4718.0,1119,790359.36,1556.94,0.225,27.96,730.18,68.3,78,45,22,6.8
Cowpea(Lobia),2011,Rabi       ,Andhra Pradesh,15567.0,12408,2607783.84,5137.11,0.801764706,27.96,730.18,68.3,78,45,22,6.8
Dry chillies,2011,Kharif     ,Andhra Pradesh,201013.0,631557,33673697.76,66334.29,2.798,27.96,730.18,68.3,78,45,22,6.8
Dry chillies,2011,Rabi       ,Andhra Pradesh,47251.0,172647,7915487.52,15592.83,3.100909091,27.96,730.18,68.3,78,45,22,6.8
Garlic,2011,Whole Year ,Andhra Pradesh,429.0,930,71866.08,141.57,2.136,27.96,730.18,68.3,78,45,22,6.8
Ginger,2011,Whole Year ,Andhra Pradesh,2369.0,21883,396854.88,781.77,8.742222222,27.96,730.18,68.3,78,45,22,6.8
Gram,2011,Rabi       ,Andhra Pradesh,564754.0,519918,94607590.08,186368.82,1.1105,27.96,730.18,68.3,78,45,22,6.8
Groundnut,2011,Kharif     ,Andhra Pradesh,1056654.0,381759,177010678.1,348695.82,1.129047619,27.96,730.18,68.3,78,45,22,6.8
